unicode 15.1.0
lower 022E 022F
lower 0230 0231
lower 0232 0233
lower 023A 2C65
lower 023B 023C
lower 023D 019A
lower 023E 2C66
lower 0241 0242
lower 0243 0180
lower 0244 0289
lower 0245 028C
lower 0246 0247
lower 0248 0249
lower 024A 024B
lower 024C 024D
lower 024E 024F
lower 0370 0371
lower 0372 0373
lower 0376 0377
lower 037F 03F3
lower 0386 03AC
lower 0388 03AD
lower 0389 03AE
lower 038A 03AF
lower 038C 03CC
lower 038E 03CD
lower 038F 03CE
lower 0391 03B1
lower 0392 03B2
lower 0393 03B3
lower 0394 03B4
lower 0395 03B5
lower 0396 03B6
lower 0397 03B7
lower 0398 03B8
lower 0399 03B9
lower 039A 03BA
lower 039B 03BB
lower 039C 03BC
lower 039D 03BD
lower 039E 03BE
lower 039F 03BF
lower 03A0 03C0
lower 03A1 03C1
lower 03A3 03C3
lower 03A4 03C4
lower 03A5 03C5
lower 03A6 03C6
lower 03A7 03C7
lower 03A8 03C8
lower 03A9 03C9
lower 03AA 03CA
lower 03AB 03CB
lower 03CF 03D7
lower 03D8 03D9
lower 03DA 03DB
lower 03DC 03DD
lower 03DE 03DF
lower 03E0 03E1
lower 03E2 03E3
lower 03E4 03E5
lower 03E6 03E7
lower 03E8 03E9
lower 03EA 03EB
lower 03EC 03ED
lower 03EE 03EF
lower 03F4 03B8
lower 03F7 03F8
lower 03F9 03F2
lower 03FA 03FB
lower 03FD 037B
lower 03FE 037C
lower 03FF 037D
lower 0400 0450
lower 0401 0451
lower 0402 0452
lower 0403 0453
lower 0404 0454
lower 0405 0455
lower 0406 0456
lower 0407 0457
lower 0408 0458
lower 0409 0459
lower 040A 045A
lower 040B 045B
lower 040C 045C
lower 040D 045D
lower 040E 045E
lower 040F 045F
lower 0410 0430
lower 0411 0431
lower 0412 0432
lower 0413 0433
lower 0414 0434
lower 0415 0435
lower 0416 0436
lower 0417 0437
lower 0418 0438
lower 0419 0439
lower 041A 043A
lower 041B 043B
lower 041C 043C
lower 041D 043D
lower 041E 043E
lower 041F 043F
lower 0420 0440
lower 0421 0441
lower 0422 0442
lower 0423 0443
lower 0424 0444
lower 0425 0445
lower 0426 0446
lower 0427 0447
lower 0428 0448
lower 0429 0449
lower 042A 044A
lower 042B 044B
lower 042C 044C
lower 042D 044D
lower 042E 044E
lower 042F 044F
lower 0460 0461
lower 0462 0463
lower 0464 0465
lower 0466 0467
lower 0468 0469
lower 046A 046B
lower 046C 046D
lower 046E 046F
lower 0470 0471
lower 0472 0473
lower 0474 0475
lower 0476 0477
lower 0478 0479
lower 047A 047B
lower 047C 047D
lower 047E 047F
lower 0480 0481
lower 048A 048B
lower 048C 048D
lower 048E 048F
lower 0490 0491
lower 0492 0493
lower 0494 0495
lower 0496 0497
lower 0498 0499
lower 049A 049B
lower 049C 049D
lower 049E 049F
lower 04A0 04A1
lower 04A2 04A3
lower 04A4 04A5
lower 04A6 04A7
lower 04A8 04A9
lower 04AA 04AB
lower 04AC 04AD
lower 04AE 04AF
lower 04B0 04B1
lower 04B2 04B3
lower 04B4 04B5
lower 04B6 04B7
lower 04B8 04B9
lower 04BA 04BB
lower 04BC 04BD
lower 04BE 04BF
lower 04C0 04CF
lower 04C1 04C2
lower 04C3 04C4
lower 04C5 04C6
lower 04C7 04C8
lower 04C9 04CA
lower 04CB 04CC
lower 04CD 04CE
lower 04D0 04D1
lower 04D2 04D3
lower 04D4 04D5
lower 04D6 04D7
lower 04D8 04D9
lower 04DA 04DB
lower 04DC 04DD
lower 04DE 04DF
lower 04E0 04E1
lower 04E2 04E3
lower 04E4 04E5
lower 04E6 04E7
lower 04E8 04E9
lower 04EA 04EB
lower 04EC 04ED
lower 04EE 04EF
lower 04F0 04F1
lower 04F2 04F3
lower 04F4 04F5
lower 04F6 04F7
lower 04F8 04F9
lower 04FA 04FB
lower 04FC 04FD
lower 04FE 04FF
lower 0500 0501
lower 0502 0503
lower 0504 0505
lower 0506 0507
lower 0508 0509
lower 050A 050B
lower 050C 050D
lower 050E 050F
lower 0510 0511
lower 0512 0513
lower 0514 0515
lower 0516 0517
lower 0518 0519
lower 051A 051B
lower 051C 051D
lower 051E 051F
lower 0520 0521
lower 0522 0523
lower 0524 0525
lower 0526 0527
lower 0528 0529
lower 052A 052B
lower 052C 052D
lower 052E 052F
lower 0531 0561
lower 0532 0562
lower 0533 0563
lower 0534 0564
lower 0535 0565
lower 0536 0566
lower 0537 0567
lower 0538 0568
lower 0539 0569
lower 053A 056A
lower 053B 056B
lower 053C 056C
lower 053D 056D
lower 053E 056E
lower 053F 056F
lower 0540 0570
lower 0541 0571
lower 0542 0572
lower 0543 0573
lower 0544 0574
lower 0545 0575
lower 0546 0576
lower 0547 0577
lower 0548 0578
lower 0549 0579
lower 054A 057A
lower 054B 057B
lower 054C 057C
lower 054D 057D
lower 054E 057E
lower 054F 057F
lower 0550 0580
lower 0551 0581
lower 0552 0582
lower 0553 0583
lower 0554 0584
lower 0555 0585
lower 0556 0586
lower 10A0 2D00
lower 10A1 2D01
lower 10A2 2D02
lower 10A3 2D03
lower 10A4 2D04
lower 10A5 2D05
lower 10A6 2D06
lower 10A7 2D07
lower 10A8 2D08
lower 10A9 2D09
lower 10AA 2D0A
lower 10AB 2D0B
lower 10AC 2D0C
lower 10AD 2D0D
lower 10AE 2D0E
lower 10AF 2D0F
lower 10B0 2D10
lower 10B1 2D11
lower 10B2 2D12
lower 10B3 2D13
lower 10B4 2D14
lower 10B5 2D15
lower 10B6 2D16
lower 10B7 2D17
lower 10B8 2D18
lower 10B9 2D19
lower 10BA 2D1A
lower 10BB 2D1B
lower 10BC 2D1C
lower 10BD 2D1D
lower 10BE 2D1E
lower 10BF 2D1F
lower 10C0 2D20
lower 10C1 2D21
lower 10C2 2D22
lower 10C3 2D23
lower 10C4 2D24
lower 10C5 2D25
lower 10C7 2D27
lower 10CD 2D2D
lower 13A0 AB70
lower 13A1 AB71
lower 13A2 AB72
lower 13A3 AB73
lower 13A4 AB74
lower 13A5 AB75
lower 13A6 AB76
lower 13A7 AB77
lower 13A8 AB78
lower 13A9 AB79
lower 13AA AB7A
lower 13AB AB7B
lower 13AC AB7C
lower 13AD AB7D
lower 13AE AB7E
lower 13AF AB7F
lower 13B0 AB80
lower 13B1 AB81
lower 13B2 AB82
lower 13B3 AB83
lower 13B4 AB84
lower 13B5 AB85
lower 13B6 AB86
lower 13B7 AB87
lower 13B8 AB88
lower 13B9 AB89
lower 13BA AB8A
lower 13BB AB8B
lower 13BC AB8C
lower 13BD AB8D
lower 13BE AB8E
lower 13BF AB8F
lower 13C0 AB90
lower 13C1 AB91
lower 13C2 AB92
lower 13C3 AB93
lower 13C4 AB94
lower 13C5 AB95
lower 13C6 AB96
lower 13C7 AB97
lower 13C8 AB98
lower 13C9 AB99
lower 13CA AB9A
lower 13CB AB9B
lower 13CC AB9C
lower 13CD AB9D
lower 13CE AB9E
lower 13CF AB9F
lower 13D0 ABA0
lower 13D1 ABA1
lower 13D2 ABA2
lower 13D3 ABA3
lower 13D4 ABA4
lower 13D5 ABA5
lower 13D6 ABA6
lower 13D7 ABA7
lower 13D8 ABA8
lower 13D9 ABA9
lower 13DA ABAA
lower 13DB ABAB
lower 13DC ABAC
lower 13DD ABAD
lower 13DE ABAE
lower 13DF ABAF
lower 13E0 ABB0
lower 13E1 ABB1
lower 13E2 ABB2
lower 13E3 ABB3
lower 13E4 ABB4
lower 13E5 ABB5
lower 13E6 ABB6
lower 13E7 ABB7
lower 13E8 ABB8
lower 13E9 ABB9
lower 13EA ABBA
lower 13EB ABBB
lower 13EC ABBC
lower 13ED ABBD
lower 13EE ABBE
lower 13EF ABBF
lower 13F0 13F8
lower 13F1 13F9
lower 13F2 13FA
lower 13F3 13FB
lower 13F4 13FC
lower 13F5 13FD
lower 1C90 10D0
lower 1C91 10D1
lower 1C92 10D2
lower 1C93 10D3
lower 1C94 10D4
lower 1C95 10D5
lower 1C96 10D6
lower 1C97 10D7
lower 1C98 10D8
lower 1C99 10D9
lower 1C9A 10DA
lower 1C9B 10DB
lower 1C9C 10DC
lower 1C9D 10DD
lower 1C9E 10DE
lower 1C9F 10DF
lower 1CA0 10E0
lower 1CA1 10E1
lower 1CA2 10E2
lower 1CA3 10E3
lower 1CA4 10E4
lower 1CA5 10E5
lower 1CA6 10E6
lower 1CA7 10E7
lower 1CA8 10E8
lower 1CA9 10E9
lower 1CAA 10EA
lower 1CAB 10EB
lower 1CAC 10EC
lower 1CAD 10ED
lower 1CAE 10EE
lower 1CAF 10EF
lower 1CB0 10F0
lower 1CB1 10F1
lower 1CB2 10F2
lower 1CB3 10F3
lower 1CB4 10F4
lower 1CB5 10F5
lower 1CB6 10F6
lower 1CB7 10F7
lower 1CB8 10F8
lower 1CB9 10F9
lower 1CBA 10FA
lower 1CBD 10FD
lower 1CBE 10FE
lower 1CBF 10FF
lower 1E00 1E01
lower 1E02 1E03
lower 1E04 1E05
lower 1E06 1E07
lower 1E08 1E09
lower 1E0A 1E0B
lower 1E0C 1E0D
lower 1E0E 1E0F
lower 1E10 1E11
lower 1E12 1E13
lower 1E14 1E15
lower 1E16 1E17
lower 1E18 1E19
lower 1E1A 1E1B
lower 1E1C 1E1D
lower 1E1E 1E1F
lower 1E20 1E21
lower 1E22 1E23
lower 1E24 1E25
lower 1E26 1E27
lower 1E28 1E29
lower 1E2A 1E2B
lower 1E2C 1E2D
lower 1E2E 1E2F
lower 1E30 1E31
lower 1E32 1E33
lower 1E34 1E35
lower 1E36 1E37
lower 1E38 1E39
lower 1E3A 1E3B
lower 1E3C 1E3D
lower 1E3E 1E3F
lower 1E40 1E41
lower 1E42 1E43
lower 1E44 1E45
lower 1E46 1E47
lower 1E48 1E49
lower 1E4A 1E4B
lower 1E4C 1E4D
lower 1E4E 1E4F
lower 1E50 1E51
lower 1E52 1E53
lower 1E54 1E55
lower 1E56 1E57
lower 1E58 1E59
lower 1E5A 1E5B
lower 1E5C 1E5D
lower 1E5E 1E5F
lower 1E60 1E61
lower 1E62 1E63
lower 1E64 1E65
lower 1E66 1E67
lower 1E68 1E69
lower 1E6A 1E6B
lower 1E6C 1E6D
lower 1E6E 1E6F
lower 1E70 1E71
lower 1E72 1E73
lower 1E74 1E75
lower 1E76 1E77
lower 1E78 1E79
lower 1E7A 1E7B
lower 1E7C 1E7D
lower 1E7E 1E7F
lower 1E80 1E81
lower 1E82 1E83
lower 1E84 1E85
lower 1E86 1E87
lower 1E88 1E89
lower 1E8A 1E8B
lower 1E8C 1E8D
lower 1E8E 1E8F
lower 1E90 1E91
lower 1E92 1E93
lower 1E94 1E95
lower 1E9E 00DF
lower 1EA0 1EA1
lower 1EA2 1EA3
lower 1EA4 1EA5
lower 1EA6 1EA7
lower 1EA8 1EA9
lower 1EAA 1EAB
lower 1EAC 1EAD
lower 1EAE 1EAF
lower 1EB0 1EB1
lower 1EB2 1EB3
lower 1EB4 1EB5
lower 1EB6 1EB7
lower 1EB8 1EB9
lower 1EBA 1EBB
lower 1EBC 1EBD
lower 1EBE 1EBF
lower 1EC0 1EC1
lower 1EC2 1EC3
lower 1EC4 1EC5
lower 1EC6 1EC7
lower 1EC8 1EC9
lower 1ECA 1ECB
lower 1ECC 1ECD
lower 1ECE 1ECF
lower 1ED0 1ED1
lower 1ED2 1ED3
lower 1ED4 1ED5
lower 1ED6 1ED7
lower 1ED8 1ED9
lower 1EDA 1EDB
lower 1EDC 1EDD
lower 1EDE 1EDF
lower 1EE0 1EE1
lower 1EE2 1EE3
lower 1EE4 1EE5
lower 1EE6 1EE7
lower 1EE8 1EE9
lower 1EEA 1EEB
lower 1EEC 1EED
lower 1EEE 1EEF
lower 1EF0 1EF1
lower 1EF2 1EF3
lower 1EF4 1EF5
lower 1EF6 1EF7
lower 1EF8 1EF9
lower 1EFA 1EFB
lower 1EFC 1EFD
lower 1EFE 1EFF
lower 1F08 1F00
lower 1F09 1F01
lower 1F0A 1F02
lower 1F0B 1F03
lower 1F0C 1F04
lower 1F0D 1F05
lower 1F0E 1F06
lower 1F0F 1F07
lower 1F18 1F10
lower 1F19 1F11
lower 1F1A 1F12
lower 1F1B 1F13
lower 1F1C 1F14
lower 1F1D 1F15
lower 1F28 1F20
lower 1F29 1F21
lower 1F2A 1F22
lower 1F2B 1F23
lower 1F2C 1F24
lower 1F2D 1F25
lower 1F2E 1F26
lower 1F2F 1F27
lower 1F38 1F30
lower 1F39 1F31
lower 1F3A 1F32
lower 1F3B 1F33
lower 1F3C 1F34
lower 1F3D 1F35
lower 1F3E 1F36
lower 1F3F 1F37
lower 1F48 1F40
lower 1F49 1F41
lower 1F4A 1F42
lower 1F4B 1F43
lower 1F4C 1F44
lower 1F4D 1F45
lower 1F59 1F51
lower 1F5B 1F53
lower 1F5D 1F55
lower 1F5F 1F57
lower 1F68 1F60
lower 1F69 1F61
lower 1F6A 1F62
lower 1F6B 1F63
lower 1F6C 1F64
lower 1F6D 1F65
lower 1F6E 1F66
lower 1F6F 1F67
lower 1F88 1F80
lower 1F89 1F81
lower 1F8A 1F82
lower 1F8B 1F83
lower 1F8C 1F84
lower 1F8D 1F85
lower 1F8E 1F86
lower 1F8F 1F87
lower 1F98 1F90
lower 1F99 1F91
lower 1F9A 1F92
lower 1F9B 1F93
lower 1F9C 1F94
lower 1F9D 1F95
lower 1F9E 1F96
lower 1F9F 1F97
lower 1FA8 1FA0
lower 1FA9 1FA1
lower 1FAA 1FA2
lower 1FAB 1FA3
lower 1FAC 1FA4
lower 1FAD 1FA5
lower 1FAE 1FA6
lower 1FAF 1FA7
lower 1FB8 1FB0
lower 1FB9 1FB1
lower 1FBA 1F70
lower 1FBB 1F71
lower 1FBC 1FB3
lower 1FC8 1F72
lower 1FC9 1F73
lower 1FCA 1F74
lower 1FCB 1F75
lower 1FCC 1FC3
lower 1FD8 1FD0
lower 1FD9 1FD1
lower 1FDA 1F76
lower 1FDB 1F77
lower 1FE8 1FE0
lower 1FE9 1FE1
lower 1FEA 1F7A
lower 1FEB 1F7B
lower 1FEC 1FE5
lower 1FF8 1F78
lower 1FF9 1F79
lower 1FFA 1F7C
lower 1FFB 1F7D
lower 1FFC 1FF3
lower 2126 03C9
lower 212A 006B
lower 212B 00E5
lower 2132 214E
lower 2160 2170
lower 2161 2171
lower 2162 2172
lower 2163 2173
lower 2164 2174
lower 2165 2175
lower 2166 2176
lower 2167 2177
lower 2168 2178
lower 2169 2179
lower 216A 217A
lower 216B 217B
lower 216C 217C
lower 216D 217D
lower 216E 217E
lower 216F 217F
lower 2183 2184
lower 24B6 24D0
lower 24B7 24D1
lower 24B8 24D2
lower 24B9 24D3
lower 24BA 24D4
lower 24BB 24D5
lower 24BC 24D6
lower 24BD 24D7
lower 24BE 24D8
lower 24BF 24D9
lower 24C0 24DA
lower 24C1 24DB
lower 24C2 24DC
lower 24C3 24DD
lower 24C4 24DE
lower 24C5 24DF
lower 24C6 24E0
lower 24C7 24E1
lower 24C8 24E2
lower 24C9 24E3
lower 24CA 24E4
lower 24CB 24E5
lower 24CC 24E6
lower 24CD 24E7
lower 24CE 24E8
lower 24CF 24E9
lower 2C00 2C30
lower 2C01 2C31
lower 2C02 2C32
lower 2C03 2C33
lower 2C04 2C34
lower 2C05 2C35
lower 2C06 2C36
lower 2C07 2C37
lower 2C08 2C38
lower 2C09 2C39
lower 2C0A 2C3A
lower 2C0B 2C3B
lower 2C0C 2C3C
lower 2C0D 2C3D
lower 2C0E 2C3E
lower 2C0F 2C3F
lower 2C10 2C40
lower 2C11 2C41
lower 2C12 2C42
lower 2C13 2C43
lower 2C14 2C44
lower 2C15 2C45
lower 2C16 2C46
lower 2C17 2C47
lower 2C18 2C48
lower 2C19 2C49
lower 2C1A 2C4A
lower 2C1B 2C4B
lower 2C1C 2C4C
lower 2C1D 2C4D
lower 2C1E 2C4E
lower 2C1F 2C4F
lower 2C20 2C50
lower 2C21 2C51
lower 2C22 2C52
lower 2C23 2C53
lower 2C24 2C54
lower 2C25 2C55
lower 2C26 2C56
lower 2C27 2C57
lower 2C28 2C58
lower 2C29 2C59
lower 2C2A 2C5A
lower 2C2B 2C5B
lower 2C2C 2C5C
lower 2C2D 2C5D
lower 2C2E 2C5E
lower 2C2F 2C5F
lower 2C60 2C61
lower 2C62 026B
lower 2C63 1D7D
lower 2C64 027D
lower 2C67 2C68
lower 2C69 2C6A
lower 2C6B 2C6C
lower 2C6D 0251
lower 2C6E 0271
lower 2C6F 0250
lower 2C70 0252
lower 2C72 2C73
lower 2C75 2C76
lower 2C7E 023F
lower 2C7F 0240
lower 2C80 2C81
lower 2C82 2C83
lower 2C84 2C85
lower 2C86 2C87
lower 2C88 2C89
lower 2C8A 2C8B
lower 2C8C 2C8D
lower 2C8E 2C8F
lower 2C90 2C91
lower 2C92 2C93
lower 2C94 2C95
lower 2C96 2C97
lower 2C98 2C99
lower 2C9A 2C9B
lower 2C9C 2C9D
lower 2C9E 2C9F
lower 2CA0 2CA1
lower 2CA2 2CA3
lower 2CA4 2CA5
lower 2CA6 2CA7
lower 2CA8 2CA9
lower 2CAA 2CAB
lower 2CAC 2CAD
lower 2CAE 2CAF
lower 2CB0 2CB1
lower 2CB2 2CB3
lower 2CB4 2CB5
lower 2CB6 2CB7
lower 2CB8 2CB9
lower 2CBA 2CBB
lower 2CBC 2CBD
lower 2CBE 2CBF
lower 2CC0 2CC1
lower 2CC2 2CC3
lower 2CC4 2CC5
lower 2CC6 2CC7
lower 2CC8 2CC9
lower 2CCA 2CCB
lower 2CCC 2CCD
lower 2CCE 2CCF
lower 2CD0 2CD1
lower 2CD2 2CD3
lower 2CD4 2CD5
lower 2CD6 2CD7
lower 2CD8 2CD9
lower 2CDA 2CDB
lower 2CDC 2CDD
lower 2CDE 2CDF
lower 2CE0 2CE1
lower 2CE2 2CE3
lower 2CEB 2CEC
lower 2CED 2CEE
lower 2CF2 2CF3
lower A640 A641
lower A642 A643
lower A644 A645
lower A646 A647
lower A648 A649
lower A64A A64B
lower A64C A64D
lower A64E A64F
lower A650 A651
lower A652 A653
lower A654 A655
lower A656 A657
lower A658 A659
lower A65A A65B
lower A65C A65D
lower A65E A65F
lower A660 A661
lower A662 A663
lower A664 A665
lower A666 A667
lower A668 A669
lower A66A A66B
lower A66C A66D
lower A680 A681
lower A682 A683
lower A684 A685
lower A686 A687
lower A688 A689
lower A68A A68B
lower A68C A68D
lower A68E A68F
lower A690 A691
lower A692 A693
lower A694 A695
lower A696 A697
lower A698 A699
lower A69A A69B
lower A722 A723
lower A724 A725
lower A726 A727
lower A728 A729
lower A72A A72B
lower A72C A72D
lower A72E A72F
lower A732 A733
lower A734 A735
lower A736 A737
lower A738 A739
lower A73A A73B
lower A73C A73D
lower A73E A73F
lower A740 A741
lower A742 A743
lower A744 A745
lower A746 A747
lower A748 A749
lower A74A A74B
lower A74C A74D
lower A74E A74F
lower A750 A751
lower A752 A753
lower A754 A755
lower A756 A757
lower A758 A759
lower A75A A75B
lower A75C A75D
lower A75E A75F
lower A760 A761
lower A762 A763
lower A764 A765
lower A766 A767
lower A768 A769
lower A76A A76B
lower A76C A76D
lower A76E A76F
lower A779 A77A
lower A77B A77C
lower A77D 1D79
lower A77E A77F
lower A780 A781
lower A782 A783
lower A784 A785
lower A786 A787
lower A78B A78C
lower A78D 0265
lower A790 A791
lower A792 A793
lower A796 A797
lower A798 A799
lower A79A A79B
lower A79C A79D
lower A79E A79F
lower A7A0 A7A1
lower A7A2 A7A3
lower A7A4 A7A5
lower A7A6 A7A7
lower A7A8 A7A9
lower A7AA 0266
lower A7AB 025C
lower A7AC 0261
lower A7AD 026C
lower A7AE 026A
lower A7B0 029E
lower A7B1 0287
lower A7B2 029D
lower A7B3 AB53
lower A7B4 A7B5
lower A7B6 A7B7
lower A7B8 A7B9
lower A7BA A7BB
lower A7BC A7BD
lower A7BE A7BF
lower A7C0 A7C1
lower A7C2 A7C3
lower A7C4 A794
lower A7C5 0282
lower A7C6 1D8E
lower A7C7 A7C8
lower A7C9 A7CA
lower A7D0 A7D1
lower A7D6 A7D7
lower A7D8 A7D9
lower A7F5 A7F6
lower FF21 FF41
lower FF22 FF42
lower FF23 FF43
lower FF24 FF44
lower FF25 FF45
lower FF26 FF46
lower FF27 FF47
lower FF28 FF48
lower FF29 FF49
lower FF2A FF4A
lower FF2B FF4B
lower FF2C FF4C
lower FF2D FF4D
lower FF2E FF4E
lower FF2F FF4F
lower FF30 FF50
lower FF31 FF51
lower FF32 FF52
lower FF33 FF53
lower FF34 FF54
lower FF35 FF55
lower FF36 FF56
lower FF37 FF57
lower FF38 FF58
lower FF39 FF59
lower FF3A FF5A
lower 10400 10428
lower 10401 10429
lower 10402 1042A
lower 10403 1042B
lower 10404 1042C
lower 10405 1042D
lower 10406 1042E
lower 10407 1042F
lower 10408 10430
lower 10409 10431
lower 1040A 10432
lower 1040B 10433
lower 1040C 10434
lower 1040D 10435
lower 1040E 10436
lower 1040F 10437
lower 10410 10438
lower 10411 10439
lower 10412 1043A
lower 10413 1043B
lower 10414 1043C
lower 10415 1043D
lower 10416 1043E
lower 10417 1043F
lower 10418 10440
lower 10419 10441
lower 1041A 10442
lower 1041B 10443
lower 1041C 10444
lower 1041D 10445
lower 1041E 10446
lower 1041F 10447
lower 10420 10448
lower 10421 10449
lower 10422 1044A
lower 10423 1044B
lower 10424 1044C
lower 10425 1044D
lower 10426 1044E
lower 10427 1044F
lower 104B0 104D8
lower 104B1 104D9
lower 104B2 104DA
lower 104B3 104DB
lower 104B4 104DC
lower 104B5 104DD
lower 104B6 104DE
lower 104B7 104DF
lower 104B8 104E0
lower 104B9 104E1
lower 104BA 104E2
lower 104BB 104E3
lower 104BC 104E4
lower 104BD 104E5
lower 104BE 104E6
lower 104BF 104E7
lower 104C0 104E8
lower 104C1 104E9
lower 104C2 104EA
lower 104C3 104EB
lower 104C4 104EC
lower 104C5 104ED
lower 104C6 104EE
lower 104C7 104EF
lower 104C8 104F0
lower 104C9 104F1
lower 104CA 104F2
lower 104CB 104F3
lower 104CC 104F4
lower 104CD 104F5
lower 104CE 104F6
lower 104CF 104F7
lower 104D0 104F8
lower 104D1 104F9
lower 104D2 104FA
lower 104D3 104FB
lower 10570 10597
lower 10571 10598
lower 10572 10599
lower 10573 1059A
lower 10574 1059B
lower 10575 1059C
lower 10576 1059D
lower 10577 1059E
lower 10578 1059F
lower 10579 105A0
lower 1057A 105A1
lower 1057C 105A3
lower 1057D 105A4
lower 1057E 105A5
lower 1057F 105A6
lower 10580 105A7
lower 10581 105A8
lower 10582 105A9
lower 10583 105AA
lower 10584 105AB
lower 10585 105AC
lower 10586 105AD
lower 10587 105AE
lower 10588 105AF
lower 10589 105B0
lower 1058A 105B1
lower 1058C 105B3
lower 1058D 105B4
lower 1058E 105B5
lower 1058F 105B6
lower 10590 105B7
lower 10591 105B8
lower 10592 105B9
lower 10594 105BB
lower 10595 105BC
lower 10C80 10CC0
lower 10C81 10CC1
lower 10C82 10CC2
lower 10C83 10CC3
lower 10C84 10CC4
lower 10C85 10CC5
lower 10C86 10CC6
lower 10C87 10CC7
lower 10C88 10CC8
lower 10C89 10CC9
lower 10C8A 10CCA
lower 10C8B 10CCB
lower 10C8C 10CCC
lower 10C8D 10CCD
lower 10C8E 10CCE
lower 10C8F 10CCF
lower 10C90 10CD0
lower 10C91 10CD1
lower 10C92 10CD2
lower 10C93 10CD3
lower 10C94 10CD4
lower 10C95 10CD5
lower 10C96 10CD6
lower 10C97 10CD7
lower 10C98 10CD8
lower 10C99 10CD9
lower 10C9A 10CDA
lower 10C9B 10CDB
lower 10C9C 10CDC
lower 10C9D 10CDD
lower 10C9E 10CDE
lower 10C9F 10CDF
lower 10CA0 10CE0
lower 10CA1 10CE1
lower 10CA2 10CE2
lower 10CA3 10CE3
lower 10CA4 10CE4
lower 10CA5 10CE5
lower 10CA6 10CE6
lower 10CA7 10CE7
lower 10CA8 10CE8
lower 10CA9 10CE9
lower 10CAA 10CEA
lower 10CAB 10CEB
lower 10CAC 10CEC
lower 10CAD 10CED
lower 10CAE 10CEE
lower 10CAF 10CEF
lower 10CB0 10CF0
lower 10CB1 10CF1
lower 10CB2 10CF2
lower 118A0 118C0
lower 118A1 118C1
lower 118A2 118C2
lower 118A3 118C3
lower 118A4 118C4
lower 118A5 118C5
lower 118A6 118C6
lower 118A7 118C7
lower 118A8 118C8
lower 118A9 118C9
lower 118AA 118CA
lower 118AB 118CB
lower 118AC 118CC
lower 118AD 118CD
lower 118AE 118CE
lower 118AF 118CF
lower 118B0 118D0
lower 118B1 118D1
lower 118B2 118D2
lower 118B3 118D3
lower 118B4 118D4
lower 118B5 118D5
lower 118B6 118D6
lower 118B7 118D7
lower 118B8 118D8
lower 118B9 118D9
lower 118BA 118DA
lower 118BB 118DB
lower 118BC 118DC
lower 118BD 118DD
lower 118BE 118DE
lower 118BF 118DF
lower 16E40 16E60
lower 16E41 16E61
lower 16E42 16E62
lower 16E43 16E63
lower 16E44 16E64
lower 16E45 16E65
lower 16E46 16E66
lower 16E47 16E67
lower 16E48 16E68
lower 16E49 16E69
lower 16E4A 16E6A
lower 16E4B 16E6B
lower 16E4C 16E6C
lower 16E4D 16E6D
lower 16E4E 16E6E
lower 16E4F 16E6F
lower 16E50 16E70
lower 16E51 16E71
lower 16E52 16E72
lower 16E53 16E73
lower 16E54 16E74
lower 16E55 16E75
lower 16E56 16E76
lower 16E57 16E77
lower 16E58 16E78
lower 16E59 16E79
lower 16E5A 16E7A
lower 16E5B 16E7B
lower 16E5C 16E7C
lower 16E5D 16E7D
lower 16E5E 16E7E
lower 16E5F 16E7F
lower 1E900 1E922
lower 1E901 1E923
lower 1E902 1E924
lower 1E903 1E925
lower 1E904 1E926
lower 1E905 1E927
lower 1E906 1E928
lower 1E907 1E929
lower 1E908 1E92A
lower 1E909 1E92B
lower 1E90A 1E92C
lower 1E90B 1E92D
lower 1E90C 1E92E
lower 1E90D 1E92F
lower 1E90E 1E930
lower 1E90F 1E931
lower 1E910 1E932
lower 1E911 1E933
lower 1E912 1E934
lower 1E913 1E935
lower 1E914 1E936
lower 1E915 1E937
lower 1E916 1E938
lower 1E917 1E939
lower 1E918 1E93A
lower 1E919 1E93B
lower 1E91A 1E93C
lower 1E91B 1E93D
lower 1E91C 1E93E
lower 1E91D 1E93F
lower 1E91E 1E940
lower 1E91F 1E941
lower 1E920 1E942
lower 1E921 1E943
